TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_18521,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_5381,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_30394,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_35925,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_10143,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_6874,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_4005,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20543,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_18157,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_20190,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_2282,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_17304,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_10024,BRANCH;EXCEPTION,0.9,7,6
com.example.task_evaluated.task_34468,BRANCH;EXCEPTION,0.8846153846153846,13,10
com.example.task_evaluated.task_18421,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_17219,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17670,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_6190,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_32569,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_8000,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_2900,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_35927,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_36212,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_2456,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_15890,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_4432,BRANCH;EXCEPTION,0.7142857142857143,8,4
com.example.task_evaluated.task_6784,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_8528,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_31606,BRANCH;EXCEPTION,0.8333333333333333,7,6
com.example.task_evaluated.task_7520,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17654,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_27544,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_8263,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_11557,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_34342,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_31660,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_9082,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_9792,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_13395,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_30933,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_7157,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_15048,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_3101,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_16881,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_15798,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_15464,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_20442,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_1727,BRANCH;EXCEPTION,0.6428571428571428,8,2
com.example.task_evaluated.task_14328,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_31375,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_9905,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_20,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17865,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_17820,BRANCH;EXCEPTION,0.6666666666666666,3,1
com.example.task_evaluated.task_14560,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_18447,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_18096,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17867,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_18189,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_11635,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_2792,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13874,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_9365,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17629,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_211,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_15930,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_20704,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_19248,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_35943,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_19664,BRANCH;EXCEPTION,0.9,8,7
com.example.task_evaluated.task_14112,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_10774,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_18035,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_7254,BRANCH;EXCEPTION,0.75,9,6
com.example.task_evaluated.task_20798,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_18128,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20579,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17085,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_18190,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17379,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_27445,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_14809,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_33866,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_6873,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_2287,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_17843,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_13623,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_29947,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_15929,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_7724,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_22965,BRANCH;EXCEPTION,0.8333333333333333,9,7
com.example.task_evaluated.task_16922,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17124,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18330,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13782,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_33611,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_15888,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_17847,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_35589,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_1524,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_15830,BRANCH;EXCEPTION,0.9375,10,9
com.example.task_evaluated.task_32749,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_14566,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_17321,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_14012,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_13113,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_20188,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_18561,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_2925,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_26420,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_29218,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_6068,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17244,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_8025,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_32125,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_32160,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20700,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_19780,BRANCH;EXCEPTION,0.75,6,3
com.example.task_evaluated.task_17668,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_6231,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_11123,BRANCH;EXCEPTION,0.6111111111111112,11,4
com.example.task_evaluated.task_16777,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_12585,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_2084,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14188,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14559,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_16596,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_28043,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_20396,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_4244,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_13465,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_11840,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14148,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_20057,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_20814,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13872,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_16657,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_4364,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_28227,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_16636,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_9577,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17382,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_26406,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14215,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_3434,BRANCH;EXCEPTION,0.9,8,7
com.example.task_evaluated.task_3624,BRANCH;EXCEPTION,0.868421052631579,20,15
com.example.task_evaluated.task_14491,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14219,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_31655,BRANCH;EXCEPTION,0.7,5,2
com.example.task_evaluated.task_21717,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_6162,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_20752,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_10173,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_17426,BRANCH;EXCEPTION,0.6111111111111112,10,3
com.example.task_evaluated.task_2977,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_31508,BRANCH;EXCEPTION,0.9,8,7
com.example.task_evaluated.task_13411,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14200,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14568,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_20477,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_12299,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20696,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_27413,BRANCH;EXCEPTION,0.6,7,3
com.example.task_evaluated.task_9173,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_17850,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_12158,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_30041,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_1632,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_24993,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_1841,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_17779,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14367,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_9171,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_10600,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18435,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_20064,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14557,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_20365,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_31673,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14202,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_13413,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14940,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_19238,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_14776,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_18515,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_15818,BRANCH;EXCEPTION,0.9375,10,9
com.example.task_evaluated.task_2586,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_16251,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_16150,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_3442,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_14007,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_27408,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_25482,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_29558,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_10208,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_2177,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_33440,BRANCH;EXCEPTION,0.5555555555555556,10,2
com.example.task_evaluated.task_16049,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_7882,BRANCH;EXCEPTION,0.7727272727272727,13,8
com.example.task_evaluated.task_20548,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_11401,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_29813,BRANCH;EXCEPTION,0.9,7,6
com.example.task_evaluated.task_6265,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_16210,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_20345,BRANCH;EXCEPTION,0.6,6,2
com.example.task_evaluated.task_1826,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_25313,BRANCH;EXCEPTION,0.75,6,4
com.example.task_evaluated.task_14046,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17108,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20708,BRANCH;EXCEPTION,0.0,9,0
com.example.task_evaluated.task_20866,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18431,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_13537,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_10290,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_18100,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13673,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_26751,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_4443,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_27415,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_20735,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17271,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_2912,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_18187,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18433,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_12729,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_28766,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17627,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14575,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_10787,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_3785,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14674,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_25599,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18417,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14588,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_2665,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_14769,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_2599,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_6796,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_6267,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_12775,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_10210,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_8524,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_7569,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_10049,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_18409,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_11764,BRANCH;EXCEPTION,1.0,58,58
com.example.task_evaluated.task_5356,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14022,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_6634,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_1361,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_5372,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_6428,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_18164,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_1281,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_26025,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_6887,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_4427,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_25137,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_29816,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_16639,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_1770,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14415,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_7998,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14967,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_657,BRANCH;EXCEPTION,0.6,6,2
com.example.task_evaluated.task_12281,BRANCH;EXCEPTION,0.8333333333333333,10,7
com.example.task_evaluated.task_22997,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_14004,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_15041,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_9869,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_9931,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_36238,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_10587,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_2498,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_14594,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_24578,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14201,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_262,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_2291,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_35814,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_1493,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_4109,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_6693,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_15902,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_4270,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18557,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_2150,BRANCH;EXCEPTION,1.0,13,13
com.example.task_evaluated.task_12224,BRANCH;EXCEPTION,0.6,6,2
com.example.task_evaluated.task_29197,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_6266,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_11447,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_7456,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_12568,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_22195,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_35643,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_6797,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_3565,BRANCH;EXCEPTION,0.5714285714285714,9,3
com.example.task_evaluated.task_12827,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_616,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17075,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_25312,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_20045,BRANCH;EXCEPTION,1.0,5,5
